median_income,nb_households,median_price_m2,predicted_price,residual_error,insee_code,commune,dept_code
25320.0,1392.0,2504.587155963303,2638.609784661237,-134.02262869793412,01072,CEYZERIAT,01
23720.0,1029.0,2446.808510638298,2116.15179676352,330.6567138747778,01074,CHALAMONT,01
25580.0,384.0,2266.9082125603863,2189.7293261918803,77.17888636850603,01083,CHANEINS,01
25170.0,896.0,2336.842105263158,2349.176397037008,-12.334291773850055,01089,CHATEAU-GAILLARD,01
25470.0,674.0,2868.607462402437,2355.14843679503,513.4590256074066,01092,CHATILLON-LA-PALUD,01
23430.0,2349.0,2829.5454545454545,2595.3386566224485,234.20679792300598,01093,CHATILLON-SUR-CHALARONNE,01
22520.0,460.0,2562.5,2235.4669643984075,327.0330356015925,01098,CHAZEY-BONS,01
26780.0,674.0,2649.5726495726494,2531.045606041244,118.52704353140552,01099,CHAZEY-SUR-AIN,01
21090.0,74.0,2405.6524738813323,2057.953133745484,347.69934013584816,01100,CHEIGNIEU-LA-BALME,01
23750.0,399.0,1757.8947368421052,1999.2298352119617,-241.3350983698565,01102,CHEVROUX,01
28920.0,728.0,2917.506828362286,2985.087625167345,-67.58079680505898,01105,CIVRIEUX,01
23750.0,554.0,1902.6515151515152,1802.9653070000886,99.68620815142663,01108,COLIGNY,01
33820.0,814.0,4214.971306923362,3944.738706128464,270.2326007948982,01109,COLLONGES,01
24350.0,562.0,2522.174688057041,2552.9118033352242,-30.73711527818341,01115,CONFRANCON,01
21560.0,1260.0,2062.0689655172414,2019.1018739257515,42.96709159148986,01138,CULOZ-BEON,01
25320.0,1856.0,3009.7087378640776,2760.7971689031297,248.911568960948,01142,DAGNEUX,01
24100.0,514.0,2463.9804639804643,2262.7047363829774,201.27572759748682,01145,DOMPIERRE-SUR-VEYLE,01
23960.0,802.0,2183.9080459770116,2182.7300980808486,1.1779478961630048,01148,DORTAN,01
27070.0,977.0,2492.285714285714,2594.9264637014435,-102.64074941572926,01157,FAREINS,01
37990.0,383.0,3974.7747747747744,3768.624469797073,206.15030497770158,01158,FARGES,01
24360.0,1497.0,1655.7096625057789,2215.6945465555686,-559.9848840497898,01159,FEILLENS,01
23810.0,865.0,1991.270178419711,2169.46546794608,-178.19528952636892,01163,FOISSIAT,01
26140.0,593.0,3091.1111111111113,2684.248513105012,406.86259800609923,01165,FRANCHELEINS,01
27060.0,1011.0,3018.75,3028.9630238283844,-10.213023828384394,01166,FRANS,01
35280.0,5068.0,3609.1946248196246,3786.3663946145716,-177.17176979494707,01173,GEX,01
24460.0,846.0,2459.6153846153848,2485.5592719880074,-25.943887372622612,01179,GRIEGES,01
25240.0,573.0,2804.1237113402062,2027.126321204225,776.9973901359813,01183,GUEREINS,01
24580.0,364.0,1779.0109034267912,1873.752236721379,-94.74133329458778,01184,HAUTECOURT-ROMANECHE,01
23080.0,1978.0,2288.135593220339,2554.531570326964,-266.39597710662474,01185,PLATEAU D'HAUTEVILLE,01
23500.0,934.0,2441.6442883701716,2570.7272478547266,-129.08295948455498,01192,IZERNORE,01
24030.0,2598.0,2993.575,2924.8433072966377,68.73169270336211,01194,JASSANS-RIOTTIER,01
25630.0,716.0,1920.2898550724638,2179.0194421023048,-258.729587029841,01195,JASSERON,01
23050.0,979.0,2423.582089552239,2267.036671884129,156.54541766810962,01199,JUJURIEUX,01
23820.0,3302.0,2551.7241379310344,2518.930490198302,32.79364773273255,01202,LAGNIEU,01
24780.0,635.0,1892.6315789473683,2543.015944132718,-650.3843651853495,01211,LENT,01
24160.0,542.0,2246.4985994397757,2318.8615683633675,-72.36296892359178,01213,LEYMENT,01
23420.0,1328.0,2866.8741988646766,2045.081123803455,821.7930750612215,01224,LOYETTES,01
25260.0,834.0,1456.818181818182,1711.5881470895672,-254.76996527138522,01231,MANZIAT,01
24540.0,973.0,2365.5913978494623,2222.6240666177778,142.9673312316845,01232,MARBOZ,01
24430.0,409.0,1809.090909090909,2017.165896329344,-208.07498723843491,01236,MARSONNAS,01
28590.0,1060.0,3149.509605662285,3146.583909824725,2.9256958375599424,01238,MASSIEUX,01
23900.0,257.0,2461.327737949525,2405.3005952571616,56.02714269236321,01239,MASSIGNIEU-DE-RIVES,01
24890.0,3395.0,2742.5271739130435,2780.799161528458,-38.27198761541467,01244,MEXIMIEUX,01
25140.0,392.0,2212.5,1719.0811734715448,493.41882652845516,01245,BOHAS-MEYRIAT-RIGNAT,01
23740.0,936.0,2079.646017699115,2132.5388158696474,-52.89279817053239,01246,MEZERIAT,01
